GSE,UID,n_samples,title,date,gdstype,tumor_pct,summary,category,reason,exclude_features,sample_example
GSE331507,200331507,20,Multi-omics profiling of glioma cells treated with I-BRD9,2026/05/25,Genome binding/occupancy profiling by high throughput sequen,0.0,BRD9 is a glioma-associated epigenetic regulator. This study profiles transcriptomic and chromatin-level changes in glioma cells after I-BRD9 treatmen,B,非目标瘤种/类型(细胞系/处理实验=17),细胞系/处理实验=17,U87MG RNA-seq 5 μM I-BRD9 biol rep 2
GSE286513,200286513,20,Diversity and Heterogeneity of Extracellular Vesicles and Brain-Penetrating Amem,2025/11/18,Expression profiling by high throughput sequencing,0.0,Advances in understanding intercellular communication through extracellular vesicles (EVs) and non-vesicular extracellular nanoparticles (NVEPs) have ,D,样本标题/摘要无特征词,-,"Supermere, series E"
GSE275702,200275702,20,Extrachromosomal DNA Associates with Nuclear Condensates and Reorganizes Chromat,2025/09/18,Expression profiling by high throughput sequencing,0.0,"Extrachromosomal, circular DNA (ecDNA) is a prevalent and significant oncogenic alteration in cancer genomes. Its frequency is associated with aggress",B,非目标瘤种/类型(细胞系/处理实验=20),细胞系/处理实验=20,GBM171DM_RNA-seq-3%HD-2h-rep1
GSE302919,200302919,20,Effect of JAM3 knockdown on glioma cell transcriptome,2025/07/24,Expression profiling by high throughput sequencing,0.0,"The JamC adhesion molecule plays a potential role in glioblastoma stem cell adhesion and interaction with the vascular niche. To study this, we perfor",B,非目标瘤种/类型(细胞系/处理实验=20),细胞系/处理实验=20,GSC4_KO409-1
GSE261187,200261187,20,Epigenetic priming induces cancer testis antigens and human endogenous retroviru,2024/06/03,Expression profiling by high throughput sequencing,0.0,Glioblastoma (GBM) is the most common malignant primary brain tumor and remains incurable. Previous work has shown that systemic administration of Dec,B,非目标瘤种/类型(细胞系/处理实验=13),细胞系/处理实验=13,GS025.DMSO.2
GSE240343,200240343,20,"STAG2 mutations and 3D genome organization, chromatin loops, and polycomb signal",2024/05/07,Other; Expression profiling by high throughput sequencing,0.0,Inactivating mutations of genes encoding the cohesin complex are common in a wide range of human cancers. STAG2 is the most commonly mutated subunit. ,A?,摘要含瘤种词(样本标题无特征),-,H4 88-1 replicate 1 [RNA-seq]
GSE230393,200230393,20,Effect of CD97 knockdown or overexpression in patient-derived GBM cultures (PDGC,2023/12/01,Expression profiling by high throughput sequencing,0.0,To investigate differentially expressed genes upon CD97 manipulation in GBM,B,非目标瘤种/类型(细胞系/处理实验=17),细胞系/处理实验=17,PDGC scrambled control (GBML83 SCRsh Rep2)
GSE217344,200217344,20,Rewiring of the promoter-enhancer interactome and regulatory landscape in gliobl,2023/09/12,Genome binding/occupancy profiling by high throughput sequen,90.0,"Glioblastoma (GBM) is the most aggressive of all primary brain tumours. Here, we perform a multi-omics approach to map the promoter-enhancer interacto",E2,非表达谱技术(非Expression类型;ChIP/结合),-,"U3008, cells, GBM (H3K4me3.ChIPseq)"
GSE217035,200217035,20,Rewiring of the promoter-enhancer interactome and regulatory landscape in gliobl,2023/09/12,Genome binding/occupancy profiling by high throughput sequen,90.0,"Glioblastoma (GBM) is the most aggressive of all primary brain tumours. Here, we perform a multi-omics approach to map the promoter-enhancer interacto",E2,非表达谱技术(非Expression类型;ChIP/结合),正常/非肿瘤组织=2,"U3073, cells, GBM (H3K27Me3.ChIPseq)"
GSE217031,200217031,20,Rewiring of the promoter-enhancer interactome and regulatory landscape in gliobl,2023/09/12,Genome binding/occupancy profiling by high throughput sequen,90.0,"Glioblastoma (GBM) is the most aggressive of all primary brain tumours. Here, we perform a multi-omics approach to map the promoter-enhancer interacto",E2,非表达谱技术(非Expression类型;ChIP/结合),正常/非肿瘤组织=2,"U3047, cells, GBM (H3K27Ac.ChIPseq)"
GSE214252,200214252,20,Meta-analysis of glioblastoma tissue RNA-seq datasets points to ferroptosis path,2023/01/05,Non-coding RNA profiling by high throughput sequencing,0.0,"Glioblastoma is a grade IV glioma of heterogeneous nature which complicates disease pathophysiology and biomarker research. Thus, the aim of our meta-",A?,摘要含瘤种词(样本标题无特征),-,T14
GSE159747,200159747,20,Elucidation of the BMI1 interactome identifies novel regulatory roles in gliobla,2021/03/04,Expression profiling by high throughput sequencing,0.0,Glioblastoma (GBM) is the most common and aggressive intrinsic brain tumour in adults. Epigenetic mechanisms controlling normal brain development are ,A?,摘要含瘤种词(样本标题无特征),-,RYB_sample1_3118
GSE138622,200138622,20,Effect of Ephrin-A5 DNA Nanocalipers stimulation of EphA2 receptor signaling in ,2020/04/07,Expression profiling by high throughput sequencing,0.0,Ligand binding induces extensive spatial reorganization and clustering of the EphA2 receptor at the cell membrane. It has previously been shown that t,A?,摘要含瘤种词(样本标题无特征),-,NC-0_4
GSE317370,200317370,20,Co-targeting neurotransmitter signaling and CDK9 to treat diffuse midline glioma,2026/04/24,Genome binding/occupancy profiling by high throughput sequen,0.0,Aberrant neurotransmitter signaling and transcriptional dysregulation are hallmarks of glioma and represent potential therapeutic targets. In this stu,E2,非表达谱技术(非Expression类型;ChIP/结合),细胞系/处理实验=20,"DIPGXIII, H3K4me3, DMSO, rep2"
GSE280973,200280973,20,Transcriptional Regulation of Protein Synthesis by Mediator Kinase Represents a ,2024/12/01,Expression profiling by high throughput sequencing,0.0,MYC-driven medulloblastoma (MB) is a highly aggressive cancer type with poor prognosis and limited treatment options. Through CRISPR-Cas9 screening of,B,非目标瘤种/类型(其他癌种=20),其他癌种=20; 细胞系/处理实验=14,"Medulloblastoma D458 cells, CRISPER-Cas9 knoc"
